Nombre,Enlace,Precio,Rebaja,Numero de habitaciones,Espacio,Garaje
"Piso en Gaztambide, Madrid",/inmueble/108317957/,1.300.000€,0%,3 hab.,140 m²,Garaje no incluido
"Piso en Bernabéu-Hispanoamérica, Madrid",/inmueble/108320292/,1.360.000€,0%,3 hab.,155 m²,Garaje no incluido
"Piso en Calle Alcalá, Recoletos, Madrid",/inmueble/108948953/,5.100.000€,0%,4 hab.,270 m²,Garaje no incluido
"Ático en Calle de Núñez de Balboa, Recoletos, Madrid",/inmueble/106031550/,3.400.000€,0%,3 hab.,170 m²,Garaje no incluido
"Piso en Calle de O'Donnell, Goya, Madrid",/inmueble/108044723/,2.600.000€,0%,4 hab.,350 m²,Garaje opc. 50.000 €
"Piso en Jerónimos, Madrid",/inmueble/108914428/,7.200.000€,0%,3 hab.,344 m²,Garaje incluido
"Ático en Calle de Hermosilla, Recoletos, Madrid",/inmueble/108228735/,1.800.000€,0%,2 hab.,88 m²,Garaje no incluido
"Dúplex en Calle del Condado de Treviño, Costillares, Madrid",/inmueble/108797610/,1.980.000€,0%,4 hab.,299 m²,Garaje incluido
"Piso en Calle de Fuencarral, Malasaña-Universidad, Madrid",/inmueble/108759533/,1.680.000€,0%,5 hab.,199 m²,Garaje no incluido
"Dúplex en Calle de Goya, Recoletos, Madrid",/inmueble/108582885/,3.200.000€,0%,4 hab.,200 m²,Garaje no incluido
"Dúplex en Avenida de Camilo José Cela, Guindalera, Madrid",/inmueble/108777127/,550.000€,0%,1 hab.,72 m²,Garaje incluido
"Piso en Calle de Viriato, Trafalgar, Madrid",/inmueble/108350539/,575.000€,0%,1 hab.,64 m²,Garaje no incluido
"Piso en Calle del General Álvarez de Castro, Trafalgar, Madrid",/inmueble/108564778/,1.450.000€,0%,3 hab.,140 m²,Garaje no incluido
"Casa o chalet independiente en Calle Cascanueces, Conde Orgaz-Piovera, Madrid",/inmueble/107511691/,7.000.000€,0%,6 hab.,1.050 m²,Garaje incluido
"Piso en Calle de José Ortega y Gasset, Castellana, Madrid",/inmueble/108924840/,5.925.000€,0%,3 hab.,370 m²,Garaje incluido
"Piso en Calle de Cáceres, Chopera, Madrid",/inmueble/108234739/,495.000€,0%,3 hab.,118 m²,Garaje no incluido
"Ático en Calle de Alejandro González, Fuente del Berro, Madrid",/inmueble/108577026/,1.150.000€,0%,3 hab.,124 m²,Garaje no incluido
"Piso en Calle de Fuencarral, 106, Chueca-Justicia, Madrid",/inmueble/105639958/,1.555.000€,0%,5 hab.,220 m²,Garaje no incluido
"Ático en Calle de Mesena, 80, Pinar del Rey, Madrid",/inmueble/107883979/,1.742.500€,0%,3 hab.,298 m²,Garaje incluido
"Chalet pareado en Camino Lavadero, 4, Valdemarín, Madrid",/inmueble/107351499/,2.150.000€,0%,4 hab.,325 m²,Garaje incluido
"Piso en Jerónimos, Madrid",/inmueble/108722818/,8.800.000€,0%,4 hab.,383 m²,Garaje incluido
"Ático en Calle Arturo Soria, 161, Colina, Madrid",/inmueble/105092725/,2.280.000€,0%,2 hab.,313 m²,Garaje incluido
"Piso en Chueca-Justicia, Madrid",/inmueble/108529412/,1.695.000€,0%,5 hab.,143 m²,Garaje no incluido
"Piso en Conde Orgaz-Piovera, Madrid",/inmueble/108107149/,900.000€,8%,3 hab.,163 m²,Garaje incluido
"Piso en Avenida del General Perón, Cuatro Caminos, Madrid",/inmueble/108519245/,1.400.000€,0%,3 hab.,157 m²,Garaje no incluido
"Piso en Calle del Padre Damián, Nueva España, Madrid",/inmueble/108294705/,1.975.000€,0%,4 hab.,256 m²,Garaje no incluido
"Piso en Calle de la Estrella Polar, Estrella, Madrid",/inmueble/108729062/,1.050.000€,0%,3 hab.,158 m²,Garaje incluido
"Piso en Paseo Castellana, El Viso, Madrid",/inmueble/106831016/,2.240.000€,0%,2 hab.,136 m²,Garaje no incluido
"Piso en Calle de San Cayetano, Lavapiés-Embajadores, Madrid",/inmueble/107800957/,575.000€,0%,3 hab.,134 m²,Garaje no incluido
"Piso en Calle Eros, Legazpi, Madrid",/inmueble/108800910/,730.000€,0%,3 hab.,144 m²,Garaje incluido
"Piso en Paseo del Rey, Argüelles, Madrid",/inmueble/108128380/,1.490.000€,0%,3 hab.,211 m²,Garaje no incluido
"Piso en Paseo del Rey, Argüelles, Madrid",/inmueble/108219254/,680.000€,0%,3 hab.,95 m²,Garaje no incluido
"Piso en Calle de San Marcos, Chueca-Justicia, Madrid",/inmueble/108508127/,539.000€,4%,2 hab.,63 m²,Garaje no incluido
"Piso en El Viso, Madrid",/inmueble/107354760/,1.710.000€,0%,2 hab.,125 m²,Garaje incluido
"Piso en Calle de Ayala, Goya, Madrid",/inmueble/108708138/,950.000€,0%,2 hab.,80 m²,Garaje no incluido
"Ático en Calle de Padilla, Lista, Madrid",/inmueble/108700994/,3.600.000€,0%,3 hab.,360 m²,Garaje incluido
"Ático en San Bernardo, 126, Trafalgar, Madrid",/inmueble/101675288/,2.550.000€,0%,2 hab.,172 m²,Garaje incluido
"Piso en Calle de Fernando el Católico, Arapiles, Madrid",/inmueble/108538083/,699.000€,5%,3 hab.,85 m²,Garaje no incluido
"Casa o chalet independiente en Conde Orgaz-Piovera, Madrid",/inmueble/108833008/,6.500.000€,0%,8 hab.,895 m²,Garaje incluido
"Piso en Calle de Castelló, Recoletos, Madrid",/inmueble/107639072/,790.000€,0%,2 hab.,91 m²,Garaje no incluido
"Piso en Calle de O'Donnell, Goya, Madrid",/inmueble/107520669/,1.600.000€,0%,2 hab.,113 m²,Garaje no incluido
"Piso en Calle de Claudio Coello, Castellana, Madrid",/inmueble/108662688/,2.250.000€,0%,3 hab.,174 m²,Garaje incluido
"Piso en Calle de Esteban Terradas, Castilla, Madrid",/inmueble/108767306/,895.000€,0%,3 hab.,144 m²,Garaje incluido
"Piso en Calle de Sánchez Barcáiztegui, Pacífico, Madrid",/inmueble/108765836/,544.500€,0%,2 hab.,76 m²,Garaje no incluido
"Piso en Calle de Alfonso XII, Jerónimos, Madrid",/inmueble/107880897/,6.700.000€,0%,4 hab.,264 m²,Garaje no incluido
